iter	Passed	Remaining
364	3174	5523
365	3178	5505
366	3187	5497
367	3194	5486
368	3202	5476
369	3208	5462
370	3216	5452
371	3229	5451
372	3242	5451
373	3252	5443
374	3259	5432
375	3266	5421
376	3277	5416
377	3281	5399
378	3289	5389
379	3296	5378
380	3305	5369
381	3312	5358
382	3316	5343
383	3320	5326
384	3336	5329
385	3338	5310
386	3345	5299
387	3347	5280
388	3364	5284
389	3374	5278
390	3382	5268
391	3386	5252
392	3395	5245
393	3401	5231
394	3410	5224
395	3422	5220
396	3433	5214
397	3469	5247
398	3477	5238
399	3496	5244
400	3500	5229
401	3508	5218
402	3516	5208
403	3529	5206
404	3531	5188
405	3540	5179
406	3544	5164
407	3559	5165
408	3562	5147
409	3581	5154
410	3588	5142
411	3591	5125
412	3600	5117
413	3607	5106
414	3612	5092
415	3615	5075
416	3626	5069
417	3640	5068
418	3650	5062
419	3667	5064
420	3686	5069
421	3700	5068
422	3704	5052
423	3709	5038
424	3712	5023
425	3716	5007
426	3733	5009
427	3742	5001
428	3746	4986
429	3751	4973
430	3764	4969
431	3772	4960
432	3779	4949
433	3786	4938
434	3790	4922
435	3804	4921
436	3807	4905
437	3817	4898
438	3825	4889
439	3833	4878
440	3841	4868
441	3854	4866
442	3860	4853
443	3874	4851
444	3882	4842
445	3886	4827
446	3890	4813
447	3894	4798
448	3907	4795
449	3913	4782
450	3925	4778
451	3929	4764
452	3936	4753
453	3944	4743
454	3947	4727
455	3951	4714
456	3954	4699
457	3962	4689
458	3966	4674
459	3976	4667
460	3988	4663
461	3994	4651
462	3996	4635
463	4010	4632
464	4022	4627
465	4024	4611
466	4032	4602
467	4035	4587
468	4043	4577
469	4053	4570
470	4057	4557
471	4068	4551
472	4076	4541
473	4079	4527
474	4099	4530
475	4108	4522
476	4112	4508
477	4126	4505
478	4133	4496
479	4146	4491
480	4160	4489
481	4171	4483
482	4184	4479
483	4208	4487
484	4212	4472
485	4221	4464
486	4233	4459
487	4242	4450
488	4253	4444
489	4260	4434
490	4274	4431
491	4289	4429
492	4297	4419
493	4305	4410
494	4313	4400
495	4317	4386
496	4324	4376
497	4336	4370
498	4339	4356
499	4352	4352
500	4354	4337
501	4368	4333
502	4377	4325
503	4387	4317
504	4394	4307
505	4401	4297
506	4414	4292
507	4456	4315
508	4469	4311
509	4485	4309
510	4489	4295
511	4498	4287
512	4512	4283
513	4516	4270
514	4520	4256
515	4524	4243
516	4538	4240
517	4551	4235
518	4562	4228
519	4566	4215
520	4575	4206
521	4587	4200
522	4601	4197
523	4605	4183
524	4628	4188
525	4637	4178
526	4639	4164
527	4642	4149
528	4650	4140
529	4661	4133
530	4672	4127
531	4686	4122
532	4696	4115
533	4703	4104
534	4708	4092
535	4715	4081
536	4719	4069
537	4726	4058
538	4734	4049
539	4751	4047
540	4767	4044
541	4771	4031
542	4788	4030
543	4795	4020
544	4799	4006
545	4807	3997
546	4822	3994
547	4838	3991
548	4855	3988
549	4873	3987
550	4882	3978
551	4899	3976
552	4914	3972
553	4930	3969
554	4942	3962
555	4958	3959
556	4970	3953
557	4974	3940
558	4981	3930
559	4997	3926
560	5007	3918
561	5010	3904
562	5021	3897
563	5033	3891
564	5052	3890
565	5063	3882
566	5065	3868
567	5078	3862
568	5093	3858
569	5098	3845
570	5109	3838
571	5130	3839
572	5142	3831
573	5153	3824
574	5164	3817
575	5171	3807
576	5180	3797
577	5183	3784
578	5191	3774
579	5202	3767
580	5210	3757
581	5219	3748
582	5227	3739
583	5239	3732
584	5250	3724
585	5266	3720
586	5277	3713
587	5293	3709
588	5298	3697
589	5307	3687
590	5318	3680
591	5322	3668
592	5326	3655
593	5341	3650
594	5345	3638
595	5357	3631
596	5369	3624
597	5377	3615
598	5398	3614
599	5405	3603
600	5409	3591
601	5460	3610
602	5477	3606
603	5497	3604
604	5523	3606
605	5527	3594
606	5531	3581
607	5546	3576
608	5554	3566
609	5573	3563
610	5588	3558
611	5608	3555
612	5618	3547
613	5640	3546
614	5658	3542
615	5670	3534
616	5680	3526
617	5695	3520
618	5707	3512
619	5722	3507
620	5729	3496
621	5748	3493
622	5757	3484
623	5771	3477
624	5774	3464
625	5788	3458
626	5802	3451
627	5820	3447
628	5828	3437
629	5840	3430
630	5856	3424
631	5874	3420
632	5885	3412
633	5898	3405
634	5907	3395
635	5928	3392
636	5941	3385
637	5954	3378
638	5963	3369
639	5976	3361
640	5990	3355
641	6011	3352
642	6034	3350
643	6054	3346
644	6075	3343
645	6089	3337
646	6100	3328
647	6108	3317
648	6121	3310
649	6129	3300
650	6140	3291
651	6144	3279
652	6149	3267
653	6156	3257
654	6174	3252
655	6182	3242
656	6193	3233
657	6211	3228
658	6223	3220
659	6236	3212
660	6260	3210
661	6276	3204
662	6285	3194
663	6297	3186
664	6311	3179
665	6325	3172
666	6345	3168
667	6359	3160
668	6377	3155
669	6385	3145
670	6406	3140
671	6413	3130
672	6421	3120
673	6473	3130
674	6491	3125
675	6512	3121
676	6520	3110
677	6524	3098
678	6535	3089
679	6538	3077
680	6552	3069
681	6570	3063
682	6590	3058
683	6605	3051
684	6612	3041
685	6616	3028
686	6624	3018
687	6635	3008
688	6651	3002
689	6666	2994
690	6677	2985
691	6691	2978
692	6706	2970
693	6717	2962
694	6731	2953
695	6749	2947
696	6761	2939
697	6768	2928
698	6782	2920
699	6796	2912
700	6803	2901
701	6822	2895
702	6833	2887
703	6841	2876
704	6845	2864
705	6851	2853
706	6866	2845
707	6884	2839
708	6903	2833
709	6915	2824
710	6926	2815
711	6934	2805
712	6938	2793
713	6963	2789
714	6982	2783
715	6993	2774
716	7012	2767
717	7024	2759
718	7041	2752
719	7049	2741
720	7070	2735
721	7086	2728
722	7099	2720
723	7107	2709
724	7124	2702
725	7140	2694
726	7147	2684
727	7158	2674
728	7174	2667
729	7181	2656
730	7190	2645
731	7194	2634
732	7199	2622
733	7210	2613
734	7217	2602
735	7236	2595
736	7247	2586
737	7254	2575
738	7272	2568
739	7287	2560
740	7296	2550
741	7300	2538
742	7308	2528
743	7319	2518
744	7328	2508
745	7352	2503
746	7361	2493
747	7383	2487
748	7398	2479
749	7406	2468
750	7420	2460
751	7428	2449
752	7432	2437
753	7492	2444
754	7513	2438
755	7518	2426
756	7536	2419
757	7543	2408
758	7565	2402
759	7579	2393
760	7586	2382
761	7590	2370
762	7597	2359
763	7612	2351
764	7631	2344
765	7652	2337
766	7673	2331
767	7682	2320
768	7694	2311
769	7705	2301
770	7720	2292
771	7747	2288
772	7755	2277
773	7771	2269
774	7776	2257
775	7780	2245
776	7808	2240
777	7812	2229
778	7819	2218
779	7831	2208
780	7838	2198
781	7857	2190
782	7884	2185
783	7901	2176
784	7909	2166
785	7922	2157
786	7962	2154
787	7966	2143
788	7997	2138
789	8009	2129
790	8027	2121
791	8035	2110
792	8063	2104
793	8093	2099
794	8123	2094
795	8144	2087
796	8169	2080
797	8193	2074
798	8209	2065
799	8228	2057
800	8232	2045
801	8240	2034
802	8245	2022
803	8268	2015
804	8291	2008
805	8312	2000
806	8321	1990
807	8333	1980
808	8337	1968
809	8353	1959
810	8362	1948
811	8370	1938
812	8387	1929
813	8404	1920
814	8425	1912
815	8451	1905
816	8528	1910
817	8532	1898
818	8542	1887
819	8557	1878
820	8562	1866
821	8577	1857
822	8581	1845
823	8593	1835
824	8603	1825
825	8616	1815
826	8632	1805
827	8645	1795
828	8650	1784
829	8662	1774
830	8675	1764
831	8689	1754
832	8698	1743
833	8708	1733
834	8723	1723
835	8731	1712
836	8746	1703
837	8763	1694
838	8775	1683
839	8793	1674
840	8810	1665
841	8818	1654
842	8835	1645
843	8850	1635
844	8861	1625
845	8876	1615
846	8892	1606
847	8913	1597
848	8925	1587
849	8931	1576
850	8950	1567
851	8959	1556
852	8971	1546
853	8984	1535
854	8999	1526
855	9003	1514
856	9021	1505
857	9038	1495
858	9042	1484
859	9068	1476
860	9094	1468
861	9112	1458
862	9116	1447
863	9126	1436
864	9148	1427
865	9164	1418
866	9179	1408
867	9183	1396
868	9201	1387
869	9221	1377
870	9235	1367
871	9248	1357
872	9263	1347
873	9283	1338
874	9294	1327
875	9309	1317
876	9320	1307
877	9332	1296
878	9340	1285
879	9344	1274
880	9363	1264
881	9383	1255
882	9406	1246
883	9410	1234
884	9423	1224
885	9431	1213
886	9451	1204
887	9464	1193
888	9485	1184
889	9556	1181
890	9560	1169
891	9569	1158
892	9580	1147
893	9593	1137
894	9608	1127
895	9626	1117
896	9641	1107
897	9649	1096
898	9668	1086
899	9679	1075
900	9691	1064
901	9707	1054
902	9718	1043
903	9735	1033
904	9751	1023
905	9771	1013
906	9777	1002
907	9796	992
908	9801	981
909	9818	971
910	9838	961
911	9843	949
912	9852	938
913	9858	927
914	9874	917
915	9896	907
916	9912	897
917	9926	886
918	9930	875
919	9949	865
920	9962	854
921	9979	844
922	9984	832
923	10005	822
924	10025	812
925	10029	801
926	10055	791
927	10072	781
928	10092	771
929	10111	761
930	10119	750
931	10123	738
932	10133	727
933	10146	716
934	10158	706
935	10167	695
936	10188	685
937	10207	674
938	10222	664
939	10226	652
940	10234	641
941	10252	631
942	10260	620
943	10271	609
944	10280	598
945	10289	587
946	10301	576
947	10317	565
948	10325	554
949	10336	544
950	10357	533
951	10361	522
952	10373	511
953	10381	500
954	10385	489
955	10404	478
956	10423	468
957	10440	457
958	10455	447
959	10472	436
960	10487	425
961	10492	414
962	10513	403
963	10583	395
964	10588	384
965	10600	373
966	10617	362
967	10621	351
968	10631	340
969	10642	329
970	10654	318
971	10669	307
972	10687	296
973	10695	285
974	10699	274
975	10714	263
976	10735	252
977	10757	241
978	10765	230
979	10769	219
980	10781	208
981	10785	197
982	10801	186
983	10817	175
984	10842	165
985	10846	154
986	10859	143
987	10874	132
988	10895	121
989	10903	110
990	10921	99
991	10937	88
992	10945	77
993	10966	66
994	10974	55
995	10989	44
996	10998	33
997	11013	22
998	11022	11
999	11035	0
